"cowID","seasonyr","milkAUC","cowagen","cdate","calfsex","stage","BCS","BW"
5704,"May2020",994.8795314,5,4,"heifer","wean",5,519.816432
5707,"May2020",1249.376444,5,9,"steer","wean",6,527.981088
5713,"May2020",663.1180502,5,31,"heifer","wean",5.75,517.09488
5722,"May2020",829.0231616,5,6,"heifer","wean",5.25,463.571024
5723,"May2020",1037.144251,5,7,"heifer","wean",6,491.240136
5729,"May2020",899.8666271,5,15,"heifer","wean",6,414.129496
5730,"May2020",1021.992297,5,11,"steer","wean",6,529.795456
5736,"May2020",847.2061095,5,16,"heifer","wean",6,577.422616
5758,"May2020",1029.583738,5,9,"steer","wean",5.75,528.43468
5761,"May2020",923.9665788,5,20,"steer","wean",5,488.518584
5770,"May2020",902.2410075,5,15,"heifer","wean",5.5,535.692152
5795,"May2020",878.9060256,5,13,"steer","wean",5.5,503.033528
6601,"May2020",774.5535658,4,20,"steer","wean",4.75,366.955928
6751,"May2020",1024.026998,4,12,"heifer","wean",5,425.015704
6760,"May2020",900.7913683,4,2,"steer","wean",5,459.035104
6780,"May2020",873.7485947,4,21,"steer","wean",5.25,464.478208
6791,"May2020",490.6927997,4,9,"steer","wean",6,480.80752
5001,"March2021",1151.747199,6,2,"heifer","wean",5,501.21916
5023,"March2021",1403.048506,6,16,"steer","wean",5,474.00364
5204,"March2021",1268.354362,6,4,"heifer","wean",6,496.68324
5250,"March2021",1108.844199,6,1,"heifer","wean",5.5,485.34344
6016,"March2021",1207.071815,5,5,"heifer","wean",6,483.07548
6076,"March2021",1156.330746,5,2,"steer","wean",5.5,530.70264
6117,"March2021",971.3151049,5,3,"heifer","wean",5,400.068144
6122,"March2021",1075.548279,5,6,"steer","wean",6,494.41528
6164,"March2021",1081.376936,5,10,"steer","wean",5.25,503.48712
6179,"March2021",1300.180645,5,9,"steer","wean",6,512.55896
6254,"March2021",748.9144114,5,6,"steer","wean",6,512.55896
6311,"March2021",1040.109136,5,10,"heifer","wean",5.5,492.14732
6336,"March2021",1169.471306,5,8,"steer","wean",6,532.9706
7102,"March2021",847.3597511,4,3,"steer","wean",5.5,474.00364
7123,"March2021",1547.571989,4,13,"heifer","wean",5.25,414.583088
7135,"March2021",1155.645822,4,10,"steer","wean",6,455.85996
7140,"March2021",1539.2894,4,11,"heifer","wean",5,458.12792
7142,"March2021",1169.475842,4,17,"steer","wean",4.75,452.684816
7157,"March2021",1244.184712,4,17,"steer","wean",4.5,437.262688
7166,"March2021",1280.812266,4,9,"heifer","wean",5,437.262688
7170,"March2021",1331.253965,4,18,"heifer","wean",5,400.068144
7190,"March2021",1145.748444,4,19,"steer","wean",4.5,393.717856
7220,"March2021",1165.658865,4,14,"steer","wean",5.5,437.262688
7230,"March2021",1022.287506,4,17,"steer","wean",6,551.11428
7266,"March2021",776.8375349,4,10,"heifer","wean",6,496.68324
7298,"March2021",1069.12088,4,9,"heifer","wean",5,429.098032
7317,"March2021",1257.125692,4,8,"steer","wean",4.75,410.954352
7318,"March2021",1109.730972,4,18,"heifer","wean",5.25,474.00364
7331,"March2021",1156.178792,4,21,"heifer","wean",4.75,394.62504
5612,"May2021",1111.391118,6,24,"steer","wean",5.5,519.36284
5713,"May2021",1079.281341,6,13,"heifer","wean",6,580.59776
5723,"May2021",1122.594841,6,7,"heifer","wean",5,483.07548
5729,"May2021",977.8944569,6,15,"heifer","wean",6,544.3104
5748,"May2021",1313.622844,6,21,"steer","wean",5,532.9706
5766,"May2021",991.1211996,6,14,"heifer","wean",5.5,637.29676
5798,"May2021",840.4447411,6,20,"steer","wean",6,598.74144
6601,"May2021",1046.046655,5,23,"steer","wean",4.75,390.996304
6604,"May2021",1104.659813,5,10,"heifer","wean",4.5,438.169872
6708,"May2021",796.9974314,5,17,"steer","wean",5.75,653.17248
6718,"May2021",829.0187586,5,14,"steer","wean",5,455.85996
6726,"May2021",966.7995966,5,4,"heifer","wean",5.25,449.05608
6742,"May2021",953.0807065,5,17,"heifer","wean",5.5,564.72204
6751,"May2021",1138.892401,5,1,"heifer","wean",5,460.39588
6760,"May2021",1230.127896,5,10,"steer","wean",5,508.02304
6774,"May2021",1134.195456,5,9,"steer","wean",5,439.98424
6780,"May2021",1278.449052,5,31,"steer","wean",5,505.75508
7012,"May2021",1169.373784,4,2,"heifer","wean",4.75,576.06184
7039,"May2021",1244.166569,4,18,"heifer","wean",5.25,492.14732
7067,"May2021",1057.672218,4,14,"steer","wean",4.25,447.241712
7629,"May2021",639.510289,4,29,"steer","wean",5,487.6114
7632,"May2021",1036.632353,4,15,"steer","wean",5.25,427.283664
7701,"May2021",1132.333461,4,21,"heifer","wean",5,508.02304
7708,"May2021",1234.368981,4,12,"heifer","wean",5.25,564.72204
7719,"May2021",844.132444,4,30,"steer","wean",6,614.61716
7727,"May2021",1365.11234,4,4,"steer","wean",5.5,553.38224
7733,"May2021",972.5874305,4,29,"steer","wean",5,430.9124
7749,"May2021",1088.824916,4,15,"steer","wean",5.5,539.77448
7789,"May2021",1024.135893,4,6,"heifer","wean",5,462.66384
